# KangXi Dictionary Index
# 
# * … Subordinate characters.
# # … Comments
#
# Warning:  1586ページ以降はまだ適当に並べただけ。
# 
KX0075.001	一
KX0075.002	弌*
KX0075.003	丁
KX0075.004	𠆤*
KX0075.005	丂
KX0075.006	𠀀
KX0075.007	七
KX0076.001	丄
KX0076.002	丅
KX0076.003	万
KX0076.004	丈
KX0076.005	三
KX0076.006	弎
KX0076.007	上
KX0076.008	丄*
KX0076.009	𠄞*
KX0076.010	下
KX0076.011	丅*
KX0076.012	𠄟*
KX0076.013	丌
KX0076.014	𠀃
KX0076.015	不
KX0077.001	与
KX0077.002	丏
KX0077.003	丐
KX0077.004	丑
KX0077.005	𠀇
KX0077.006	𠀈
KX0077.007	且
KX0077.008	𠀇*
KX0077.009	𠀃*
KX0077.010	丕
KX0077.011	世
KX0077.012	卋*
KX0077.013	𠀍
KX0077.014	丘
KX0078.001	㐀
KX0078.002	丙
KX0078.003	㐁
KX0078.004	𠀬*
KX0078.005	丞
KX0078.006	丟
KX0078.007	𠀘
KX0078.008	𠀙
KX0078.009	𠀚
KX0078.010	丠
KX0078.011	丣
KX0078.012	𠀡
KX0078.013	𠀢
KX0078.014	並
KX0078.015	𠀬
KX0078.016	𠀭
KX0078.017	𠀮
KX0078.018	𠁁
KX0078.019	𠁕
KX0078.020	丨
KX0078.021	丩
KX0078.022	𠁡
KX0078.023	个
KX0079.001	丫
KX0079.002	㐄
KX0079.003	中
KX0079.004	𠁧*
KX0079.005	𠁩*
KX0079.006	丮
KX0079.007	丯
KX0079.008	丰
KX0079.009	𡴀*
KX0079.010	丱
KX0080.001	𠁦
KX0080.002	串
KX0080.003	𠁧
KX0080.004	丳
KX0080.005	𠁩
KX0080.006	𠁭
KX0080.007	𠁮
KX0080.008	丵
KX0080.009	𠁰
KX0080.010	𠁱
KX0080.011	𠁴
KX0080.012	丶
KX0080.013	𠁼
KX0080.014	𠁽
KX0080.015	丸
KX0080.016	丹
KX0080.017	𠁿*
KX0080.018	㣋*
KX0080.019	𠕑*
KX0080.020	主
KX0081.001	丼
KX0081.002	𠁿
KX0081.003	𠂂
KX0081.004	丽
KX0081.005	𠂄
KX0081.006	丿
