twedu-a00001	一
twedu-a00001-001	𠤪
twedu-a00001-002	弌
twedu-a00001-003	
twedu-a00001-004	
twedu-a00001-005	壹
twedu-a00002	丁
twedu-a00002-001	𠆤
twedu-a00003	七
twedu-a00003-001	
twedu-a00003-002	柒
twedu-a00004	三
twedu-a00004-001	弎
twedu-a00004-001-1	參
twedu-a00004-001-2	叁
twedu-a00004-006	
twedu-a00004-006-1	叄
twedu-a00005	下
twedu-a00005-001	丅
twedu-a00005-002	𠄟
twedu-a00006	丈
twedu-a00006-001	𠀋
twedu-a00006-002	
twedu-a00006-003	支
twedu-a00007	上
twedu-a00007-001	丄
twedu-a00007-002	二
twedu-a00008	丑
twedu-a00008-001	𠃠
twedu-a00008-002	
twedu-a00008-003	丒
twedu-a00008-005	
twedu-a00008-006	
twedu-a00009	丐
twedu-a00009-001	匄
twedu-a00009-002	匃
twedu-a00009-003	𠣣
twedu-a00009-004	
twedu-a00009-005	
twedu-a00009-006	
twedu-a00009-007	𠣏
twedu-a00010	不
twedu-a00010-001	𠀚
twedu-a00010-002	𠙐
twedu-a00010-003	
twedu-a00010-007	
twedu-a00010-008	
twedu-a00010-009	
twedu-a00010-010	
twedu-a00010-013	
twedu-a00010-015	
twedu-a00010-018	
twedu-a00010-019	
twedu-a00010-020	
twedu-a00010-021	㐬
twedu-a00010-023	
twedu-a00011	丙
twedu-a00011-001	
twedu-a00011-002	
twedu-a00012	世
twedu-a00012-001	丗
twedu-a00012-002	卋
twedu-a00012-003	㔺
twedu-a00012-004	𠦔
twedu-a00012-005	
twedu-a00012-006	芔
twedu-a00012-007	
twedu-a00012-008	
twedu-a00012-009	
twedu-a00012-010	
twedu-a00012-012	
twedu-a00012-014	
twedu-a00012-015	
twedu-a00012-017	
twedu-a00012-018	
twedu-a00012-019	
twedu-a00012-020	
twedu-a00012-021	
twedu-a00012-024	
twedu-a00013	丕
twedu-a00013-001	㔻
twedu-a00013-002	𠦓
twedu-a00013-003	
twedu-a00013-004	
twedu-a00013-005	
twedu-a00013-006	㶨
twedu-a00014	且
twedu-a00014-001	𠀃
twedu-a00014-002	𠀇
twedu-a00014-003	𣅂
twedu-a00015	丘
twedu-a00015-001	𠀈
twedu-a00015-002	㐀
twedu-a00015-003	丠
twedu-a00015-004	𠤢
twedu-a00015-005	㘳
twedu-a00015-006	𡊣
twedu-a00015-007	𤤘
twedu-a00015-008	𠀉
twedu-a00015-009	
twedu-a00015-010	
twedu-a00015-011	业
twedu-a00015-011-1	坵
twedu-a00015-011-2	
twedu-a00015-013	
twedu-a00015-014	
twedu-a00016	丞
twedu-a00016-001	㞼
twedu-a00016-002	
twedu-a00016-003	
twedu-a00016-004	
twedu-a00016-005	
twedu-a00016-006	
twedu-a00016-007	
twedu-a00016-008	
twedu-a00016-009	
twedu-a00016-010	
twedu-a00016-010a	
twedu-a00016-010b	
twedu-a00016-010c	
twedu-a00017	丟
twedu-a00017-001	丢
twedu-a00018	並
twedu-a00018-001-1	𡘋
twedu-a00018-002	傡
twedu-a00018-003	竝
twedu-a00018-004	
twedu-a00018-006	
twedu-a00019	丫
twedu-a00019-002	椏
twedu-a00019-003	亞
twedu-a00020	中
twedu-a00020-001	𠁦
twedu-a00020-002	𠁧
twedu-a00020-003	𠁩
twedu-a00020-004	𠔗
twedu-a00020-005	𠔈
twedu-a00020-006	
twedu-a00020-007	
twedu-a00020-008	
twedu-a00020-009	
twedu-a00020-012	
twedu-a00021	串
twedu-a00021-001	
twedu-a00022	丸
twedu-a00022-001	丸
twedu-a00022-002	𠁽
twedu-a00022-003	
twedu-a00023	凡
twedu-a00023-001	凢
twedu-a00023-002-1	凣
twedu-a00023-003	
twedu-a00023-004	
twedu-a00023-005	
twedu-a00023-007	
twedu-a00023-008	
twedu-a00024	丹
twedu-a00024-001	𠁿
twedu-a00024-002	𠕑
twedu-a00024-003	㣋
twedu-a00024-004	
twedu-a00024-005	𢒈
twedu-a00024-006	
twedu-a00024-007	
twedu-a00024-008	
twedu-a00024-009	
twedu-a00024-010	
twedu-a00024-011	
twedu-a00024-012	
twedu-a00024-013	
twedu-a00025	主
twedu-a00025-001	
twedu-a00025-002	
twedu-a00026	乃
twedu-a00026-001	𠄕
twedu-a00026-002	𠚝
twedu-a00026-003	𠧤
twedu-a00026-004	𢎧
twedu-a00026-005	𢏩
twedu-a00026-006	弓
twedu-a00026-007	𠄎
twedu-a00026-008	
twedu-a00026-009	
twedu-a00026-016	
twedu-a00026-017	
twedu-a00026-018	廼
twedu-a00027	久
twedu-a00027-001	乆
twedu-a00027-002	镹
twedu-a00027-003	
twedu-a00028	么
twedu-a00028-001	幺
twedu-a00029	之
twedu-a00029-001	㞢
twedu-a00029-002	𡳿
twedu-a00029-003	𠔇
twedu-a00029-004	
twedu-a00029-005	
twedu-a00029-007-1	
twedu-a00029-012	
twedu-a00029-013	
twedu-a00029-014	
twedu-a00029-015	
twedu-a00029-017	
twedu-a00029-018-1	
twedu-a00029-018-2	
twedu-a00030	尹
twedu-a00030-001	𢁨
twedu-a00030-002	𢂫
twedu-a00030-003	𢂟
twedu-a00030-004	𢂬
twedu-a00030-005	
twedu-a00030-007	
twedu-a00030-008	𢃂
twedu-a00030-009	𢃁
twedu-a00030-011	
twedu-a00030-012	𢃹
twedu-a00030-013	
twedu-a00030-014	𢃵
twedu-a00031	乍
twedu-a00031-001	𠆦
twedu-a00031-002	
twedu-a00032	乏
twedu-a00032-001	𠂜
twedu-a00032-002	𠓟
twedu-a00032-003	𣥄
twedu-a00032-005	
twedu-a00032-006	
twedu-a00032-007	
twedu-a00032-008	
twedu-a00033	乎
twedu-a00033-001	𠂞
twedu-a00033-002	
twedu-a00033-003	𠂠
twedu-a00033-004	
twedu-a00033-006	虖
twedu-a00034	乒
twedu-a00035	乓
twedu-a00036	乖
twedu-a00036-001	𠂯
twedu-a00036-002	𦭅
twedu-a00036-003	𦮃
twedu-a00036-004	
twedu-a00036-005	
twedu-a00036-006	
twedu-a00036-007	
twedu-a00036-008-1	
twedu-a00036-008-2	
twedu-a00036-008-3	
twedu-a00036-009	𠁰
twedu-a00036-010	
twedu-a00036-011	
twedu-a00036-013	
twedu-a00036-014	
twedu-a00036-016	
twedu-a00036-017	
twedu-a00036-018	𠦬
twedu-a00037	乘
twedu-a00037-001	乗
twedu-a00037-002	𠅞
twedu-a00037-003	𠅟
twedu-a00037-004	𠓸
twedu-a00037-005	𠨇
twedu-a00037-006	椉
twedu-a00037-007	𣔕
twedu-a00037-008	𨌤
twedu-a00037-009	𨍱
twedu-a00037-010	
twedu-a00037-011	
twedu-a00037-012	
twedu-a00037-013	
twedu-a00037-015	
twedu-a00037-016	
twedu-a00037-017	𠓽
twedu-a00037-018	
twedu-a00037-021	
twedu-a00037-022	
twedu-a00037-023	
twedu-a00037-024	
twedu-a00037-025	
twedu-a00037-027	
twedu-a00037-029	
twedu-a00037-030	
twedu-a00037-031	
twedu-a00037-032	
twedu-a00037-035	
twedu-a00037-037	
twedu-a00037-038	
twedu-a00037-040	
twedu-a00038	乙
twedu-a00038-001	乚
twedu-a00038-002	
twedu-a00038-003	𠃊
twedu-a00039	九
twedu-a00039-001	𢌬
twedu-a00039-002	𣲄
twedu-a00039-002-1	玖
twedu-a00039-002-2	
twedu-a00040	也
twedu-a00040-002	𠔄
twedu-a00040-003	𦫴
twedu-a00040-004	𦬀
twedu-a00040-005	
twedu-a00040-006	
twedu-a00040-007	
twedu-a00040-007-1	𠃟
twedu-a00040-009	
twedu-a00040-010	
twedu-a00040-011	
twedu-a00040-012	
twedu-a00041	乞
twedu-a00041-001	
twedu-a00041-002	气
twedu-a00041-003	
twedu-a00041-004	
twedu-a00041-005	
twedu-a00041-006	
twedu-a00041-007	
twedu-a00042	乩
twedu-a00043	乳
twedu-a00043-001	𠂏
twedu-a00043-002	𦜘
twedu-a00043-003	𡇲
twedu-a00043-004	
twedu-a00043-005	
twedu-a00044	乾
twedu-a00044-001	乹
twedu-a00044-002-1	亁
twedu-a00044-003-1	𠄄
twedu-a00044-004	𠄊
twedu-a00044-005	𠄋
