zihai-000101	一
zihai-000102	二
zihai-000103	𠄟
zihai-000104	丅
zihai-000105	𠂇
zihai-000106	丁
zihai-000107	七
zihai-000108	丂
zihai-000109	𠀁
zihai-000110	三
zihai-000111	&CDP-8BF1;
zihai-000112	亍
zihai-000113	于
zihai-000114	亏
zihai-000115	亐
zihai-000116	&CDP-85F1;
zihai-000117	⿱&CDP-8BBF;一
zihai-000118	卄
zihai-000119	下
zihai-000120	⿱丅𠃌
zihai-000121	丌
zihai-000122	丈
zihai-000123	𢌬
zihai-000124	万
zihai-000125	𡯁
zihai-000126	𠀅
zihai-000127	&CDP-8DC1;
zihai-000128	与
zihai-000129	与[J]
zihai-000130	𡕒
zihai-000131	㐄
zihai-000132	㔿
zihai-000134	才
zihai-000135	⿷七丶
zihai-000136	𢍺
zihai-000137	𠫓
zihai-000139	𣦶
zihai-000140	⿹𫠠㇉
zihai-000142	亖
zihai-000143	⿱一&CDP-85F1;
zihai-000201	丰
zihai-000203	开
zihai-000204	亓
zihai-000205	井
zihai-000206	天
zihai-000207	夫
zihai-000208	专
zihai-000210	⿱一&CDP-89D9;
zihai-000211	⿱七二
zihai-000212	丐
zihai-000213	𠀀
zihai-000215	廿
zihai-000216	龷
zihai-000218	𠀍
zihai-000219	𠥻
zihai-000220	𤓯
zihai-000221	𥘅
zihai-000222	五
zihai-000223	𢀑
zihai-000224	丏
zihai-000225	巿
zihai-000226	&CDP-8844;
zihai-000228	𡬝
zihai-000229	廾
zihai-000230	不
zihai-000231	𣎴
zihai-000232	卅
zihai-000233	⿱丌一
zihai-000234	⿱一&CDP-8BD6;
zihai-000235	𠄡
zihai-000236	𠀋
zihai-000237	𢌭
zihai-000238	⿱一⿻八㇉
zihai-000239	𠀊
zihai-000240	⿱一亡
zihai-000241	⿱一䒑
zihai-000242	⿻𡕒一
zihai-000243	⿰丂丂
zihai-000244	屯
zihai-000245	⿱亠屮
zihai-000247	𡭕
zihai-000248	兂
zihai-000251	⿺才丶
zihai-000252	⿴𠥻丶
zihai-000302	⿷七⿰丶丶
zihai-000303	互
zihai-000304	㸦
zihai-000305	㸦[T]
zihai-000307	⿻丰一
zihai-000308	⿱一开
zihai-000309	𡗗
zihai-000311	⿱龷一
zihai-000312	⿱&CDP-8BF1;龴
zihai-000314	击
zihai-000315	𠙻
zihai-000317	丕
zihai-000320	𤴓
zihai-000322	𣥄
zihai-000323	卌
zihai-000324	世
zihai-000326	朮
zihai-000328	𠕂
zihai-000329	𠕅
zihai-000333	丙
zihai-000334	𡗚
zihai-000335	𠀑
zihai-000343	𠕆
zihai-000344	丛
zihai-000349	𡗜
zihai-000350	𠀓
zihai-000401	𠀔
zihai-000404	东
zihai-000406	𠀕
zihai-000407	丝
zihai-000410	𤴕
zihai-000411	𠀛
zihai-000414	𡗤
zihai-000418	丠
zihai-000419	𢀚
zihai-000421	𠦌
zihai-000423	𠀠
zihai-000424	亚
zihai-000425	𠀜
zihai-000429	𠀝
zihai-000430	再
zihai-000433	襾
zihai-000435	吏
zihai-000439	両
zihai-000442	𠄣
zihai-000443	亙
zihai-000447	𠀙
zihai-000448	𠀞
zihai-000458	𧰧
zihai-000460	夹
zihai-000463	夷
zihai-000501	𢎮
zihai-000502	𢎯
zihai-000503	𠄤
zihai-000508	𠀚
zihai-000510	丞
zihai-000511	𣎺
zihai-000513	𠀤
zihai-000518	𠀢
zihai-000520	⿰正丁
zihai-000527	𠦜
zihai-000529	严
zihai-000530	𢀝
zihai-000533	甫
zihai-000534	更
zihai-000535	亜
zihai-000536	两
zihai-000537	丽
zihai-000538	𠄢
zihai-000544	𠀡
zihai-000546	丣
zihai-000554	𠀩
zihai-000556	来
zihai-000601	𢆊
zihai-000602	𠀦
zihai-000603	亊
zihai-000607	𡴈
zihai-000609	表
zihai-000610	奉
zihai-000613	𠧥
zihai-000620	亞
zihai-000623	𡗾
zihai-000624	丧
zihai-000627	兩
zihai-000631	事
zihai-000632	𠄙
zihai-000633	𪜃
zihai-000637	𠀯
zihai-000638	𠀬
zihai-000642	𢂏
zihai-000645	靣
zihai-000646	𦣽
zihai-000647	𠀰
zihai-000650	𡘆
zihai-000651	𡘖
zihai-000702	𠀮
zihai-000707	疌
